location,size,total_sqft,bath,price,bhk,price_per_sqft
Whitefield,2 BHK,2.0,2.0,94.82,2,4741000.0
KR Puram,2 Bedroom,2.0,1.0,130.0,2,6500000.0
Himagiri Meadows,2 BHK,2.0,2.0,36.0,2,1800000.0
Adarsh Nagar,2 BHK,2.0,2.0,50.0,2,2500000.0
Bhoganhalli,3 BHK,2.0,3.0,99.0,3,4950000.0
Whitefield,3 BHK,2.0,3.0,91.0,3,4550000.0
Lakshminarayana Pura,2 BHK,2.0,2.0,75.0,2,3750000.0
Yelahanka,3 BHK,2.0,2.0,75.0,3,3750000.0
Begur Road,2 BHK,2.0,2.0,44.0,2,2200000.0
Ramakrishnappa Layout,2 BHK,2.0,2.0,185.0,2,9250000.0
Murugeshpalya,6 Bedroom,2.0,4.0,150.0,6,7500000.0
Govindaraja Nagar Ward,2 BHK,2.0,2.0,45.0,2,2250000.0
Tharabanahalli,3 Bedroom,2.0,3.0,240.0,3,12000000.0
Ganga Nagar,2 BHK,2.0,2.0,55.0,2,2750000.0
Whitefield,4 Bedroom,2.0,5.0,650.0,4,32500000.0
Varthur,2 BHK,2.0,2.0,44.0,2,2200000.0
Bommanahalli,8 Bedroom,2.0,8.0,140.0,8,7000000.0
Doddathoguru,2 BHK,2.0,2.0,62.0,2,3100000.0
Gunjur,2 BHK,2.0,2.0,43.0,2,2150000.0
Marathahalli,2 BHK,2.0,2.0,57.0,2,2850000.0
Devarachikkanahalli,8 Bedroom,2.0,7.0,85.0,8,4250000.0
Kanakpura Road,2 BHK,2.0,2.0,36.68,2,1834000.0
Double Road,3 Bedroom,2.0,3.0,100.0,3,5000000.0
Begur Road,2 BHK,2.0,2.0,80.58,2,4029000.0
Hegde Nagar,3 BHK,2.0,3.0,101.0,3,5050000.0
Haralur Road,2 BHK,2.0,2.0,70.0,2,3500000.0
Hennur Road,3 BHK,2.0,3.0,140.0,3,7000000.0
Kothannur,2 BHK,2.0,2.0,48.23,2,2411500.0
Kalena Agrahara,2 BHK,2.0,2.0,40.0,2,2000000.0
Cholanayakanahalli,3 BHK,2.0,3.0,205.0,3,10250000.0
Kaval Byrasandra,2 BHK,2.0,1.0,22.0,2,1100000.0
ISRO Layout,6 Bedroom,2.0,6.0,250.0,6,12500000.0
Kodanda Reddy Layout,3 BHK,2.0,2.0,105.0,3,5250000.0
Yelahanka,2 BHK,2.0,2.0,78.0,2,3900000.0
Garudachar Palya,3 BHK,2.0,2.0,60.8,3,3040000.0
EPIP Zone,3 BHK,2.0,5.0,102.0,3,5100000.0
Hegde Nagar,6 Bedroom,2.0,7.0,210.0,6,10500000.0
Kanakpura Road,3 BHK,2.0,3.0,88.0,3,4400000.0
Dasanapura,2 BHK,2.0,2.0,37.0,2,1850000.0
Kasavanhalli,2 BHK,2.0,2.0,58.06,2,2903000.0
Rajaji Nagar,6 Bedroom,2.0,6.0,160.0,6,8000000.0
Sanjay nagar,2 BHK,2.0,2.0,70.0,2,3500000.0
Electronic City,2 BHK,2.0,2.0,28.88,2,1444000.0
 Mysore Highway,3 BHK,2.0,2.0,70.0,3,3500000.0
ISRO Layout,4 Bedroom,2.0,4.0,155.0,4,7750000.0
Thanisandra,2 BHK,2.0,2.0,80.0,2,4000000.0
Domlur,3 BHK,2.0,3.0,90.0,3,4500000.0
Kengeri,4 Bedroom,2.0,4.0,245.0,4,12250000.0
Sarjapura - Attibele Road,3 BHK,2.0,2.0,48.0,3,2400000.0
Devasthanagalu,2 BHK,2.0,2.0,65.0,2,3250000.0
T Dasarahalli,3 Bedroom,2.0,3.0,90.0,3,4500000.0
Yeshwanthpur,3 BHK,2.0,3.0,138.0,3,6900000.0
Chandapura,2 BHK,2.0,1.0,17.0,2,850000.0
Kothanur,3 Bedroom,2.0,2.0,150.0,3,7500000.0
Green View Layout,2 BHK,2.0,2.0,43.0,2,2150000.0
Shantiniketan Layout,2 BHK,2.0,2.0,50.0,2,2500000.0
Peenya,2 BHK,2.0,2.0,49.9,2,2495000.0
Nagarbhavi,3 BHK,2.0,2.0,98.0,3,4900000.0
Rajaji Nagar,3 BHK,2.0,3.0,229.0,3,11450000.0
Jalahalli West,2 BHK,2.0,2.0,55.68,2,2784000.0
Devanahalli,2 BHK,2.0,2.0,66.78,2,3339000.0
Lakshmiamma Garden,3 BHK,2.0,3.0,120.0,3,6000000.0
Byatarayanapura,3 BHK,2.0,2.0,75.0,3,3750000.0
Whitefield,2 BHK,2.0,2.0,51.91,2,2595500.0
Electronic City,3 BHK,2.0,2.0,45.9,3,2295000.0
Ramamurthy Nagar,4 Bedroom,2.0,4.0,225.0,4,11250000.0
Sarjapur  Road,3 Bedroom,2.0,3.0,140.0,3,7000000.0
Kengeri,3 BHK,2.0,2.0,64.0,3,3200000.0
Thanisandra,3 BHK,2.0,3.0,74.75,3,3737500.0
Malleshwaram,2 BHK,2.0,2.0,75.0,2,3750000.0
Hennur Road,2 Bedroom,2.0,3.0,23.0,2,1150000.0
Thanisandra,3 BHK,2.0,3.0,120.0,3,6000000.0
Akshaya Nagar,3 BHK,2.0,3.0,200.0,3,10000000.0
Hebbal,4 BHK,5611.5,4.0,477.0,4,8500.400962309543
Shampura,4 BHK,2.0,4.0,150.0,4,7500000.0
Devanahalli,3 BHK,2.0,2.0,68.52,3,3426000.0
Kadugodi,2 BHK,2.0,2.0,34.0,2,1700000.0
LB Shastri Nagar,3 BHK,2.0,3.0,65.0,3,3250000.0
Vajarahalli,2 BHK,2.0,2.0,54.0,2,2700000.0
Hormavu,2 BHK,2.0,2.0,78.0,2,3900000.0
Vishwapriya Layout,7 Bedroom,2.0,7.0,115.0,7,5750000.0
Peenya,3 BHK,2.0,3.0,110.0,3,5500000.0
Sarjapur,3 Bedroom,2.0,3.0,75.0,3,3750000.0
Electronic City,2 BHK,2.0,1.0,16.5,2,825000.0
Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,2.0,4.0,210.0,4,10500000.0
Kudlu Gate,3 BHK,2.0,3.0,83.0,3,4150000.0
Kanakpura Road,2 BHK,2.0,2.0,57.0,2,2850000.0
Devanahalli,2 BHK,2.0,2.0,65.0,2,3250000.0
8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,5030.740568234746
Bommasandra Industrial Area,3 BHK,2.0,3.0,50.4,3,2520000.0
Chandra Layout,3 BHK,2.0,2.0,85.05,3,4252500.0
Hennur Road,8 Bedroom,2.0,8.0,250.0,8,12500000.0
Yelahanka,5 BHK,2.0,5.0,213.0,5,10650000.0
Kasavanhalli,3 BHK,2.0,3.0,105.0,3,5250000.0
ISRO Layout,2 BHK,2.0,2.0,60.0,2,3000000.0
Anandapura,2 BHK,2.0,2.0,43.76,2,2188000.0
Vishveshwarya Layout,7 BHK,2.0,7.0,225.0,7,11250000.0
Kothanur,3 BHK,2.0,3.0,110.0,3,5500000.0
Kengeri Satellite Town,2 BHK,2.0,2.0,35.0,2,1750000.0
Basavanapura,3 BHK,2.0,3.0,46.74,3,2337000.0
Dinnur,6 Bedroom,2.0,5.0,185.0,6,9250000.0
Mysore Road,3 BHK,2.0,4.0,91.31,3,4565500.0
Kannamangala,2 BHK,2.0,2.0,58.0,2,2900000.0
 Devarachikkanahalli,3 BHK,2.0,2.0,44.0,3,2200000.0
Sanjeevini Nagar,3 BHK,2.0,4.0,235.0,3,11750000.0
Hulimavu,2 BHK,2.0,2.0,50.0,2,2500000.0
Electronic City Phase II,2 BHK,2.0,2.0,30.6,2,1530000.0
Kalena Agrahara,2 BHK,2.0,2.0,50.0,2,2500000.0
Thanisandra,3 BHK,2.0,3.0,135.0,3,6750000.0
Thanisandra,3 BHK,2.0,3.0,145.0,3,7250000.0
Mahalakshmi Layout,4 Bedroom,2.0,4.0,760.0,4,38000000.0
Yarandahalli,3 BHK,2.0,2.0,48.0,3,2400000.0
Hosa Road,2 BHK,2.0,2.0,32.0,2,1600000.0
Keshava Nagar,3 BHK,2.0,3.0,150.0,3,7500000.0
Whitefield,4 Bedroom,2.0,4.0,420.0,4,21000000.0
RMV Extension,3 BHK,2.0,3.0,175.0,3,8750000.0
Sarjapur,2 BHK,1242.5,2.0,43.49,2,3500.201207243461
Tejaswini Nagar,3 BHK,2.0,2.0,75.0,3,3750000.0
Electronic City,3 BHK,2.0,2.0,64.5,3,3225000.0
Electronic City,2 BHK,2.0,2.0,60.0,2,3000000.0
Jai Bheema Nagar,3 BHK,2.0,2.0,70.0,3,3500000.0
Kothnur Narayanapura,6 BHK,2.0,6.0,99.0,6,4950000.0
Attibele,1 BHK,2.0,1.0,11.0,1,550000.0
Electronic City,2 BHK,2.0,2.0,64.5,2,3225000.0
Electronic City,3 BHK,2.0,2.0,56.0,3,2800000.0
CV Raman Nagar,3 BHK,2.0,3.0,65.0,3,3250000.0
CHIKKATIRUPATHI,3 Bedroom,2.0,3.0,100.0,3,5000000.0
Kumaraswami Layout,5 Bedroom,2.0,3.0,85.0,5,4250000.0
Nagavara,1 Bedroom,2.0,1.0,14.0,1,700000.0
Malleshwaram,1 BHK,2.0,1.0,67.0,1,3350000.0
Electronic City,2 BHK,2.0,1.0,36.0,2,1800000.0
Hulimavu,2 BHK,2.0,2.0,51.0,2,2550000.0
Hebbal Kempapura,3 BHK,2.0,3.0,155.0,3,7750000.0
Thanisandra,3 BHK,2.0,3.0,145.0,3,7250000.0
Vijayanagar,3 BHK,2.0,3.0,110.0,3,5500000.0
Electronic City,2 BHK,2.0,2.0,52.0,2,2600000.0
8th block Koramangala,3 Bedroom,2.0,3.0,300.0,3,15000000.0
Jakkuru Layout,2 BHK,2.0,2.0,55.7,2,2785000.0
Electronic City,2 BHK,2.0,2.0,46.0,2,2300000.0
KR Puram,2 BHK,1277.5,2.0,56.8,2,4446.183953033268
Marathahalli,2 BHK,2.0,2.0,52.0,2,2600000.0
Kanakpura Road,4 Bedroom,2.0,4.0,110.0,4,5500000.0
Pattandur Agrahara,3 BHK,2.0,2.0,80.0,3,4000000.0
Bellandur,4 Bedroom,2.0,5.0,325.0,4,16250000.0
Ejipura,7 Bedroom,2.0,7.0,250.0,7,12500000.0
Marathahalli,2 BHK,2.0,2.0,60.0,2,3000000.0
Yelahanka,2 BHK,2.0,2.0,98.0,2,4900000.0
Kothanur,2 BHK,2.0,2.0,58.0,2,2900000.0
MS Pallya,3 Bedroom,2.0,3.0,115.0,3,5750000.0
HSR Layout,3 BHK,2.0,3.0,56.0,3,2800000.0
Nagasandra,2 BHK,2.0,2.0,48.0,2,2400000.0
EPIP Zone,2 BHK,2.0,2.0,82.0,2,4100000.0
Langford Town,3 BHK,2.0,2.0,70.0,3,3500000.0
Whitefield,2 BHK,2.0,2.0,47.6,2,2380000.0
Whitefield,2 BHK,2.0,2.0,53.0,2,2650000.0
Kadugodi,3 BHK,2.0,2.0,54.0,3,2700000.0
Yelahanka,3 BHK,2.0,2.0,48.7,3,2435000.0
Kogilu,3 BHK,2.0,3.0,88.0,3,4400000.0
Panathur,2 BHK,2.0,2.0,87.0,2,4350000.0
Nagondanahalli,2 BHK,2.0,2.0,43.5,2,2175000.0
Padmanabhanagar,4 Bedroom,2.0,6.0,190.0,4,9500000.0
1st Block Jayanagar,4 BHK,2.0,4.0,428.0,4,21400000.0
Kammasandra,3 BHK,2.0,3.0,65.0,3,3250000.0
"Off Sarjapur Road, ",3 BHK,2.0,3.0,89.0,3,4450000.0
Electronics City Phase 1,3 BHK,2.0,3.0,78.29,3,3914500.0000000005
Tala Cauvery Layout,3 BHK,2.0,3.0,100.0,3,5000000.0
Dasarahalli,2 BHK,2.0,2.0,65.0,2,3250000.0
Magadi Road,6 Bedroom,2.0,6.0,141.0,6,7050000.0
Electronic City,1 BHK,2.0,1.0,27.0,1,1350000.0
Ngef Layout,3 BHK,2.0,3.0,78.0,3,3900000.0
Sarjapur  Road,3 BHK,2.0,3.0,98.29,3,4914500.0
Sarjapur  Road,3 BHK,2.0,3.0,125.0,3,6250000.0
Koramangala,3 BHK,2.0,2.0,90.0,3,4500000.0
"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2.0,4.0,75.5,4,3775000.0
Sarjapur  Road,2 BHK,2.0,2.0,44.28,2,2214000.0
Muthurayya Swamy Layout,3 BHK,2.0,4.0,260.0,3,13000000.0
7th Phase JP Nagar,2 BHK,2.0,2.0,72.0,2,3600000.0
Shantiniketan Layout,2 Bedroom,2.0,2.0,115.0,2,5750000.0
Hebbal,3 BHK,2.0,3.0,119.0,3,5950000.0
Dommasandra,2 BHK,2.0,2.0,22.14,2,1107000.0
Budigere,2 BHK,2.0,2.0,56.4,2,2820000.0
Dodda Nekkundi Extension,2 BHK,2.0,2.0,60.0,2,3000000.0
Mylasandra,2 BHK,2.0,2.0,55.0,2,2750000.0
Electronic City,2 BHK,2.0,2.0,42.0,2,2100000.0
Kalyan nagar,2 BHK,2.0,2.0,110.0,2,5500000.0
Dr Shivarama Karantha Nagar,3 BHK,2.0,2.0,65.0,3,3250000.0
Bank Of Baroda Colony,2 BHK,2.0,2.0,39.0,2,1950000.0
Vijayanagar,3 BHK,2.0,3.0,129.0,3,6450000.0
Ramamurthy Nagar,5 Bedroom,2.0,5.0,150.0,5,7500000.0
Kullappa Colony,2 BHK,2.0,2.0,60.0,2,3000000.0
Chandapura,1 BHK,2.0,1.0,16.45,1,822500.0
Mukkutam Nagar,8 Bedroom,2.0,8.0,180.0,8,9000000.0
Chandapura,1 BHK,2.0,1.0,16.45,1,822500.0
Ashwath Nagar,3 BHK,2.0,3.0,84.0,3,4200000.0
Ncpr Industrial Layout,2 BHK,2.0,2.0,72.5,2,3625000.0
Electronic City,3 Bedroom,2.0,3.0,90.0,3,4500000.0
Electronic City,2 BHK,2.0,2.0,40.0,2,2000000.0
Kothanur,3 BHK,2.0,3.0,70.0,3,3500000.0
Meenakunte,3 Bedroom,2.0,3.0,280.0,3,14000000.0
OMBR Layout,3 BHK,2.0,3.0,185.0,3,9250000.0
Chandapura,2 BHK,2.0,1.0,20.0,2,1000000.0
Anand Nagar,2 BHK,2.0,2.0,55.0,2,2750000.0
7th Phase JP Nagar,2 BHK,2.0,2.0,93.0,2,4650000.0
Shree Ananth Nagar Layout,2 BHK,2.0,2.0,22.5,2,1125000.0
Kundalahalli Colony,2 Bedroom,2.0,2.0,69.0,2,3450000.0
Horamavu Agara,4 Bedroom,2.0,2.0,95.0,4,4750000.0
Sarjapur  Road,2 BHK,2.0,2.0,36.0,2,1800000.0
Electronic City,2 BHK,2.0,2.0,63.0,2,3150000.0
MCECHS  layout,5 Bedroom,2.0,5.0,170.0,5,8500000.0
Coffee Board Layout,3 BHK,2.0,3.0,170.0,3,8500000.0
Ambedkar Nagar,4 Bedroom,2.0,3.0,300.0,4,15000000.0
Vijayanagar,3 BHK,2.0,3.0,75.5,3,3775000.0
Raja Rajeshwari Nagar,2 BHK,2.0,2.0,43.9,2,2195000.0
Budigere,2 BHK,2.0,2.0,59.9,2,2995000.0
Sarjapur  Road,2 BHK,2.0,2.0,49.2,2,2460000.0
Attibele,4 Bedroom,2.0,4.0,52.8,4,2640000.0
KUDLU MAIN ROAD,3 BHK,2.0,3.0,46.0,3,2300000.0
Hennur Road,3 BHK,2.0,2.0,61.58,3,3079000.0
Geleyara Balaga Layout,2 BHK,2.0,1.0,26.0,2,1300000.0
Kalena Agrahara,3 BHK,2.0,3.0,120.0,3,6000000.0
Sarjapur,2 BHK,2.0,2.0,32.0,2,1600000.0
Talaghattapura,3 BHK,2.0,3.0,131.0,3,6550000.0
Kengeri Satellite Town,2 BHK,2.0,2.0,45.0,2,2250000.0
Sundara Nagar,2 Bedroom,2.0,2.0,110.0,2,5500000.0
Kogilu,3 BHK,2.0,2.0,73.95,3,3697500.0
Hegde Nagar,3 BHK,2.0,3.0,132.0,3,6600000.0
Balagere,2 BHK,2.0,2.0,80.9,2,4045000.0000000005
Meenakunte,4 Bedroom,2.0,4.0,250.0,4,12500000.0
Kadugodi,3 BHK,2.0,3.0,91.45,3,4572500.0
Jigani,3 BHK,2.0,3.0,55.0,3,2750000.0
Gollarapalya Hosahalli,2 BHK,2.0,2.0,34.5,2,1725000.0
7th Phase JP Nagar,3 BHK,2.0,2.0,100.0,3,5000000.0
Srirampura,6 Bedroom,2.0,6.0,250.0,6,12500000.0
Electronics City Phase 1,3 BHK,2.0,3.0,78.8,3,3940000.0
Bisuvanahalli,3 BHK,2.0,2.0,46.0,3,2300000.0
Old Madras Road,3 BHK,2.0,2.0,94.0,3,4700000.0
Kalena Agrahara,2 BHK,2.0,2.0,40.0,2,2000000.0
Kaggadasapura,3 BHK,2.0,2.0,56.0,3,2800000.0
Silver Springs Layout,2 BHK,2.0,2.0,50.0,2,2500000.0
Chandapura,2 BHK,2.0,2.0,25.88,2,1294000.0
Kanakpura Road,2 BHK,2.0,2.0,51.25,2,2562500.0
Haralur Road,2 BHK,2.0,2.0,44.0,2,2200000.0
Electronic City Phase II,2 BHK,2.0,2.0,45.0,2,2250000.0
Hebbal,2 BHK,2.0,2.0,98.2,2,4910000.0
9th Phase JP Nagar,2 BHK,2.0,2.0,50.0,2,2500000.0
Jakkur,2 BHK,2.0,2.0,75.0,2,3750000.0
TC Palaya,3 Bedroom,2.0,3.0,98.0,3,4900000.0
Maruthi Sevanagar,2 BHK,2.0,2.0,47.0,2,2350000.0
RMV 2nd Stage,4 BHK,2.0,4.0,120.0,4,6000000.0
Giri Nagar,3 Bedroom,2.0,3.0,140.0,3,7000000.0
Sarjapur  Road,4 BHK,2.0,3.0,104.0,4,5200000.0
Singasandra,2 BHK,2.0,2.0,29.5,2,1475000.0
Kalena Agrahara,3 BHK,2.0,2.0,70.0,3,3500000.0
Vijayanagar,3 BHK,2.0,3.0,100.0,3,5000000.0
Kothanur,3 BHK,2.0,3.0,105.0,3,5250000.0
AECS Layout,2 BHK,2.0,2.0,45.0,2,2250000.0
Kanakpura Road,1 BHK,2.0,1.0,26.0,1,1300000.0
Mallasandra,3 BHK,2.0,3.0,95.0,3,4750000.0
Begur,4 BHK,2.0,4.0,65.0,4,3250000.0
JP Nagar,3 BHK,2.0,3.0,150.0,3,7500000.0
Panathur,2 BHK,2.0,2.0,100.0,2,5000000.0
Sunder Ram Shetty Nagar,3 BHK,2.0,3.0,115.0,3,5750000.0
Yelahanka,2 BHK,2.0,2.0,55.55,2,2777500.0
Kanakpura Road,3 BHK,2.0,3.0,67.0,3,3350000.0
Malleshpalya,2 BHK,2.0,2.0,46.5,2,2325000.0
Srirampura,5 Bedroom,2.0,5.0,180.0,5,9000000.0
Kodathi,2 BHK,2.0,2.0,27.0,2,1350000.0
Whitefield,2 BHK,2.0,2.0,75.0,2,3750000.0
Munnekollal,2 BHK,2.0,2.0,52.0,2,2600000.0
Motappa Layout,2 BHK,2.0,2.0,51.0,2,2550000.0
Hennur Road,2 BHK,2.0,2.0,83.09,2,4154500.0
Electronic City,2 BHK,2.0,2.0,65.0,2,3250000.0
Marathahalli,2 Bedroom,2.0,2.0,128.0,2,6400000.0
Akshaya Vana,4 Bedroom,2.0,4.0,165.0,4,8250000.0
Rajaji Nagar,3 BHK,2.0,3.0,415.0,3,20750000.0
Giri Nagar,4 Bedroom,2.0,4.0,400.0,4,20000000.0
Haralur Road,3 BHK,2.0,3.0,56.0,3,2800000.0
Manayata Tech Park,2 BHK,2.0,2.0,55.0,2,2750000.0
Kaval Byrasandra,2 BHK,2.0,2.0,52.0,2,2600000.0
Kaggalipura,3 BHK,2.0,2.0,55.0,3,2750000.0
Basavanna Nagar,3 BHK,2.0,3.0,95.0,3,4750000.0
Sarjapur  Road,2 BHK,2.0,2.0,67.0,2,3350000.0
Haralur Road,4 Bedroom,2.0,4.0,198.0,4,9900000.0
6th Phase JP Nagar,2 BHK,2.0,2.0,74.0,2,3700000.0
Ulsoor,3 BHK,2.0,3.0,215.0,3,10750000.0
Whitefield,2 BHK,2.0,2.0,58.0,2,2900000.0
Uttarahalli,2 BHK,2.0,2.0,45.0,2,2250000.0
Thigalarapalya,4 BHK,2.0,6.0,230.0,4,11500000.0
Somasundara Palya,3 BHK,2.0,3.0,64.0,3,3200000.0
T.C PALYA,2 Bedroom,2.0,2.0,79.0,2,3950000.0
Muneshwara Nagar,2 BHK,2.0,2.0,48.0,2,2400000.0
 Devarachikkanahalli,2 BHK,2.0,2.0,40.0,2,2000000.0
Kalena Agrahara,2 BHK,2.0,2.0,76.0,2,3800000.0
7th Phase JP Nagar,3 BHK,2.0,3.0,150.0,3,7500000.0
Basaveshwara Nagar,2 BHK,2.0,2.0,65.0,2,3250000.0
Bull Temple Road,3 Bedroom,2.0,2.0,140.0,3,7000000.0
Bommasandra,3 BHK,2.0,3.0,49.36,3,2468000.0
Prashanth Nagar,3 BHK,2.0,3.0,150.0,3,7500000.0
Suragajakkanahalli,3 Bedroom,2.0,3.0,74.0,3,3700000.0
Ardendale,2 BHK,2.0,2.0,43.25,2,2162500.0
Harlur,2 BHK,2.0,2.0,77.0,2,3850000.0
Sampigehalli,3 BHK,2.0,3.0,75.0,3,3750000.0
Akshaya Nagar,2 BHK,2.0,2.0,57.0,2,2850000.0
Electronic City Phase II,1 BHK,2.0,1.0,28.35,1,1417500.0
RMV,3 Bedroom,2.0,3.0,365.0,3,18250000.0
Banashankari3rd stage bigbazar,3 BHK,2.0,3.0,125.0,3,6250000.0
Bagalur Main Road,2 BHK,2.0,2.0,50.0,2,2500000.0
Kodihalli,4 BHK,2.0,5.0,335.0,4,16750000.0
Magadi Road,2 BHK,2.0,2.0,50.0,2,2500000.0
Narayanapura,2 BHK,2.0,2.0,89.04,2,4452000.0
MS Pallya,3 BHK,2.0,3.0,90.0,3,4500000.0
Binny Mills Employees Colony,4 Bedroom,2.0,4.0,230.0,4,11500000.0
Bannerghatta Road,1 BHK,2.0,1.0,18.5,1,925000.0
Hennur,2 BHK,2.0,2.0,52.0,2,2600000.0
Chandapura,1 BHK,2.0,1.0,11.66,1,583000.0
Bellandur,2 BHK,2.0,2.0,66.0,2,3300000.0
5th Phase JP Nagar,2 BHK,2.0,2.0,60.0,2,3000000.0
KR Puram,2 BHK,2.0,2.0,39.0,2,1950000.0
Balagere,2 BHK,2.0,2.0,60.0,2,3000000.0
Hebbal,4 BHK,2.0,5.0,212.0,4,10600000.0
Kodigehaali,2 BHK,2.0,2.0,55.0,2,2750000.0
Bannerghatta Road,2 BHK,2.0,2.0,65.0,2,3250000.0
Gopalapura,3 BHK,2.0,3.0,275.0,3,13750000.0
Begur Road,2 BHK,2.0,2.0,46.8,2,2340000.0
Lakshminarayana Pura,3 BHK,2.0,2.0,108.0,3,5400000.0
Billekahalli,3 BHK,2.0,3.0,110.0,3,5500000.0
8th Phase JP Nagar,1 BHK,2.0,1.0,29.9,1,1495000.0
Electronic City,3 BHK,2.0,3.0,95.0,3,4750000.0
Jalahalli,3 BHK,2.0,3.0,77.0,3,3850000.0
Hegde Nagar,3 BHK,2.0,3.0,115.0,3,5750000.0
Mahadevpura,2 BHK,2.0,2.0,90.0,2,4500000.0
Anekal,2 Bedroom,2.0,1.0,36.0,2,1800000.0
Begur Road,2 BHK,2.0,2.0,44.0,2,2200000.0
Kengeri,2 BHK,2.0,2.0,25.0,2,1250000.0
Kanakpura Road,2 BHK,2.0,2.0,40.0,2,2000000.0
"Hoodi Circle, ",3 BHK,2.0,3.0,79.0,3,3950000.0
Vijayanagar,3 BHK,2.0,2.0,134.0,3,6700000.0
Vijayanagar,3 BHK,2.0,3.0,121.0,3,6050000.0
7th Phase JP Nagar,2 BHK,2.0,2.0,94.0,2,4700000.0
Raja Rajeshwari Nagar,2 BHK,2.0,2.0,45.79,2,2289500.0
Sompura,2 BHK,2.0,2.0,33.0,2,1650000.0
Yeshwanthpur,3 BHK,2.0,3.0,108.0,3,5400000.0
Electronics City Phase 1,2 BHK,2.0,2.0,53.0,2,2650000.0
Ashirvad Colony,2 BHK,2.0,2.0,58.0,2,2900000.0
Doddathoguru,2 BHK,2.0,2.0,32.0,2,1600000.0
Dodda Nekkundi,2 BHK,2.0,2.0,55.0,2,2750000.0
K N Extension,6 BHK,2.0,3.0,120.0,6,6000000.0
Hosur Road,2 BHK,2.0,2.0,120.0,2,6000000.0
Chandapura,3 BHK,2.0,3.0,45.0,3,2250000.0
Whitefield,3 BHK,2.0,3.0,161.0,3,8050000.0
Whitefield,4 BHK,2.0,4.0,230.0,4,11500000.0
Battarahalli,2 Bedroom,2.0,2.0,65.0,2,3250000.0
